iter	Passed	Remaining
0	12	11996
1	22	10998
2	32	10661
3	41	10429
4	51	10224
5	60	10057
6	67	9639
7	77	9602
8	87	9601
9	96	9575
10	107	9646
11	115	9548
12	125	9538
13	135	9523
14	144	9507
15	154	9479
16	163	9469
17	173	9492
18	183	9496
19	193	9457
20	202	9454
21	212	9435
22	222	9438
23	232	9449
24	242	9458
25	251	9421
26	259	9356
27	269	9348
28	279	9346
29	288	9337
30	298	9339
31	308	9330
32	317	9309
33	327	9300
34	337	9317
35	347	9298
36	357	9294
37	365	9263
38	375	9252
39	385	9240
40	394	9237
41	405	9240
42	414	9218
43	423	9195
44	434	9210
45	443	9195
46	453	9192
47	464	9208
48	474	9203
49	483	9183
50	492	9168
51	502	9162
52	511	9143
53	521	9143
54	532	9153
55	541	9120
56	550	9112
57	560	9104
58	576	9189
59	589	9237
60	601	9263
61	612	9260
62	621	9249
63	631	9232
64	640	9220
65	650	9206
66	659	9186
67	669	9182
68	679	9171
69	690	9167
70	700	9165
71	710	9158
72	720	9143
73	730	9140
74	739	9120
75	749	9111
76	760	9111
77	770	9108
78	779	9092
79	789	9074
80	799	9068
81	808	9052
82	817	9027
83	827	9021
84	836	9009
85	847	9002
86	855	8981
87	865	8972
88	875	8959
89	884	8945
90	895	8940
91	903	8916
92	912	8901
93	922	8888
94	932	8879
95	942	8870
96	951	8861
97	962	8859
98	972	8847
99	981	8835
100	992	8837
101	1003	8830
102	1011	8811
103	1021	8798
104	1031	8788
105	1040	8772
106	1049	8755
107	1058	8742
108	1068	8736
109	1078	8724
110	1088	8716
111	1099	8715
112	1108	8703
113	1120	8707
114	1130	8700
115	1139	8684
116	1148	8669
117	1158	8660
118	1167	8642
119	1177	8634
120	1186	8619
121	1196	8612
122	1204	8590
123	1214	8582
124	1226	8583
125	1236	8574
126	1245	8560
127	1255	8549
128	1264	8539
129	1274	8528
130	1284	8518
131	1294	8512
132	1303	8498
133	1313	8485
134	1323	8477
135	1331	8460
136	1341	8450
137	1351	8440
138	1362	8438
139	1372	8429
140	1382	8420
141	1392	8414
142	1402	8405
143	1412	8396
144	1422	8389
145	1432	8380
146	1443	8374
147	1453	8368
148	1463	8360
149	1473	8348
150	1483	8338
151	1493	8329
152	1502	8317
153	1511	8306
154	1521	8295
155	1531	8283
156	1540	8270
157	1549	8258
158	1559	8250
159	1569	8238
160	1578	8227
161	1589	8221
162	1597	8201
163	1606	8190
164	1615	8175
165	1626	8174
166	1636	8164
167	1646	8153
168	1656	8147
169	1666	8138
170	1676	8129
171	1686	8118
172	1695	8104
173	1704	8092
174	1712	8075
175	1722	8065
176	1731	8052
177	1741	8041
178	1750	8030
179	1760	8021
180	1770	8010
181	1779	7999
182	1789	7989
183	1798	7977
184	1808	7966
185	1818	7959
186	1828	7947
187	1837	7937
188	1847	7925
189	1856	7915
190	1866	7904
191	1875	7893
192	1885	7882
193	1893	7868
194	1903	7859
195	1913	7850
196	1923	7839
197	1932	7827
198	1941	7816
199	1951	7806
200	1961	7796
201	1970	7785
202	1979	7772
203	1988	7760
204	1998	7750
205	2006	7733
206	2016	7723
207	2025	7712
208	2034	7701
209	2044	7691
210	2054	7683
211	2064	7673
212	2073	7661
213	2083	7652
214	2093	7642
215	2103	7634
216	2115	7634
217	2125	7623
218	2134	7611
219	2144	7602
220	2154	7593
221	2164	7584
222	2173	7573
223	2184	7566
224	2193	7554
225	2202	7543
226	2212	7535
227	2222	7524
228	2231	7513
229	2240	7502
