is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn,is_contract
1,0,6.84,25.0,0.14,0,8.4,2.3,0,0,1
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,16.0,0.0,0,13.7,0.9,0,1,0
0,0,6.84,21.0,0.0,1,0.0,0.0,0,1,0
0,0,6.39,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,32.0,1.38,0,69.4,4.0,0,0,1
0,0,6.84,18.0,0.0,0,21.3,2.0,0,1,0
0,0,5.48,14.0,0.0,1,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,17.0,0.0,0,9.9,1.1,0,1,0
1,1,6.84,10.0,1.28,0,10.6,0.6,0,0,1
0,0,6.64,10.0,0.0,0,0.0,0.0,0,1,0
0,0,5.53,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,23.0,0.28,0,0.0,0.0,0,1,1
1,1,6.84,18.0,1.8,0,1.0,0.0,0,0,1
1,0,6.84,22.0,0.01,1,10.6,2.4,0,0,1
0,0,6.45,35.5,0.0,0,0.0,0.0,0,1,0
0,0,6.81,14.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,35.5,0.21,0,116.8,11.25,0,0,1
0,0,5.95,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,0,9.3,0.7,0,0,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,24.1,3.2,0,0,0
0,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
0,0,5.21,14.0,0.0,0,0.0,0.0,0,1,0
0,0,5.93,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,35.5,0.0,0,38.1,7.9,0,1,0
0,0,6.03,9.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,141.2,6.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.6,35.5,0.0,0,0.0,0.0,0,1,0
