id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,download_avg,upload_avg,download_over_limit,churn,is_contract
C0000015,1,0,11.95,25,0.14,8.4,2.3,0,0,1
C0000018,0,0,8.22,0,0.0,0.0,0.0,0,1,0
C0000023,1,0,8.91,16,0.0,13.7,0.9,0,1,0
C0000027,0,0,6.87,21,0.0,0.0,0.0,0,1,0
C0000034,0,0,6.39,0,0.0,0.0,0.0,0,1,0
C0000056,1,1,11.94,32,1.38,69.4,4.0,0,0,1
C0000071,0,0,8.96,18,0.0,21.3,2.0,0,1,0
C0000084,0,0,5.48,14,0.0,0.0,0.0,0,1,0
C0000094,0,0,8.54,0,0.0,0.0,0.0,0,1,0
C0000112,0,0,8.33,0,0.0,0.0,0.0,0,1,0
C0000166,1,1,8.44,17,0.0,9.9,1.1,0,1,0
C0000174,1,1,11.93,10,1.28,10.6,0.6,0,0,1
C0000213,0,0,6.64,10,0.0,0.0,0.0,0,1,0
C0000222,0,0,5.53,14,0.0,0.0,0.0,0,1,0
C0000270,0,0,6.97,23,0.28,0.0,0.0,0,1,1
C0000288,1,1,11.93,18,1.8,1.0,0.0,0,0,1
C0000291,1,0,11.93,22,0.01,10.6,2.4,0,0,1
C0000417,0,0,6.45,40,0.0,0.0,0.0,0,1,0
C0000475,0,0,6.81,14,0.0,0.0,0.0,0,1,0
C0000507,1,1,11.93,65,0.21,116.8,12.1,0,0,1
C0000530,0,0,5.95,0,0.0,0.0,0.0,0,1,0
C0000549,1,0,11.93,24,0.0,9.3,0.7,0,0,0
C0000550,0,0,8.53,0,0.0,0.0,0.0,0,1,0
C0000600,0,0,11.93,41,0.0,24.1,3.2,0,0,0
C0000608,0,0,8.57,20,0.0,0.0,0.0,0,1,0
C0000642,0,0,5.21,14,0.0,0.0,0.0,0,1,0
C0000644,0,0,5.93,0,0.0,0.0,0.0,0,1,0
C0000680,0,0,7.02,13,0.0,0.0,0.0,0,1,0
C0000682,1,0,10.93,63,0.0,38.1,7.9,0,1,0
C0000683,0,0,6.03,9,0.0,0.0,0.0,0,1,0
C0000696,0,0,9.22,80,0.0,235.0,6.0,0,1,0
C0000730,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0000734,0,0,6.6,54,0.0,0.0,0.0,0,1,0
C0000774,0,0,11.12,33,0.0,11.4,1.6,0,1,0
C0000790,0,0,11.88,129,0.0,125.8,9.2,0,1,0
C0000831,0,0,5.44,18,0.0,0.0,0.0,0,1,0
C0000848,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0000861,1,0,11.93,45,1.83,70.3,9.7,0,0,1
C0000905,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0000921,1,0,6.35,21,0.0,0.0,0.0,0,1,0
C0000928,0,0,6.64,14,0.0,0.0,0.0,0,1,0
C0000933,1,0,5.3,79,0.0,0.0,0.0,0,1,0
C0000945,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0000977,1,1,11.93,16,1.82,19.4,1.9,0,0,1
C0000999,0,0,5.53,13,0.0,0.0,0.0,0,1,0
C0001006,1,0,10.26,17,0.0,0.0,0.0,0,1,0
C0001038,0,0,5.7,0,0.0,0.0,0.0,0,1,0
C0001048,0,0,7.79,10,0.0,0.0,0.0,0,1,0
C0001051,1,1,8.13,22,0.0,10.2,7.4,0,1,0
C0001061,0,0,10.8,0,0.0,0.0,0.0,0,1,0
C0001075,1,1,11.93,23,1.85,17.5,5.9,0,0,1
C0001162,1,0,11.93,33,0.0,40.9,2.0,0,0,0
C0001201,0,0,5.7,10,0.0,0.0,0.0,0,1,0
C0001206,1,0,9.18,20,0.0,0.0,0.0,0,1,0
C0001226,0,0,9.75,0,0.0,0.0,0.0,0,1,0
C0001266,1,1,11.93,16,1.56,28.3,2.1,0,0,1
C0001281,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0001296,1,0,6.79,17,0.45,0.0,0.0,0,1,1
C0001311,0,0,5.1,13,0.0,0.0,0.0,0,1,0
C0001327,0,0,7.61,13,0.0,0.0,0.0,0,1,0
C0001414,0,0,5.28,13,0.0,0.0,0.0,0,1,0
C0001416,0,0,7.64,39,0.0,0.0,0.0,0,1,0
C0001455,0,0,6.97,14,0.0,0.0,0.0,0,1,0
C0001457,1,1,6.92,0,0.0,0.0,0.0,0,1,0
C0001492,1,1,11.93,20,1.8,62.6,5.2,0,0,1
C0001517,1,0,11.93,37,0.44,26.5,2.2,0,0,1
C0001522,1,1,11.93,10,1.21,10.1,0.3,0,0,1
C0001568,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0001662,1,1,11.93,21,0.21,48.2,2.9,0,0,1
C0001664,0,0,9.21,24,0.0,0.0,0.0,0,1,0
C0001684,0,0,5.72,0,0.0,0.0,0.0,0,1,0
C0001693,0,0,5.62,0,0.0,0.0,0.0,0,1,0
C0001694,0,0,6.12,14,0.0,0.0,0.0,0,1,0
C0001709,0,0,11.93,56,0.0,117.3,15.1,0,0,0
C0001717,1,0,10.08,20,0.0,0.0,0.0,0,1,0
C0001733,0,0,6.81,12,0.0,0.0,0.0,0,1,0
C0001744,1,1,8.19,14,0.0,11.5,2.0,0,1,0
C0001746,0,0,8.04,17,0.0,0.0,0.0,0,1,0
C0001778,0,0,6.23,14,0.0,0.0,0.0,0,1,0
C0001783,0,0,11.93,69,0.52,584.6,21.3,0,0,1
C0001793,0,0,11.93,33,0.0,54.7,3.1,0,0,0
C0001810,1,1,11.93,40,1.1,446.2,8.9,0,0,1
C0001844,1,1,5.99,24,0.0,0.0,0.0,0,1,0
